Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
01_Homepage,4,3556,2935,4096,469.27,0.000%,.05158,188.08,0.28,3733968.8
02_Login,4,2897,0,4421,1707.32,0.000%,.07290,2.21,0.54,30997.5
03_Go To My Info,3,1285,0,3855,1817.26,0.000%,.14717,2.26,0.52,15729.3
04_Click Personal Details,1,4566,4566,4566,0.00,0.000%,.04620,2.18,0.49,48423.0
TOTAL,12,2852,0,4566,1701.54,0.000%,.15474,190.85,0.93,1262956.3
