Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_Homepage,4,3556,3280,4096,4096,4096,2935,4096,0.000%,.05158,188.08,0.28
02_Login,4,2897,3567,4421,4421,4421,0,4421,0.000%,.07290,2.21,0.54
03_Go To My Info,3,1285,0,3855,3855,3855,0,3855,0.000%,.14717,2.26,0.52
04_Click Personal Details,1,4566,4566,4566,4566,4566,4566,4566,0.000%,.04620,2.18,0.49
TOTAL,12,2852,3567,4421,4421,4566,0,4566,0.000%,.15474,190.85,0.93
